zoom,epoch,batch_id,loss
4,0,7,34.5
4,0,8,31.625
4,0,9,29.25
4,0,10,26.75
4,0,11,19.0
4,0,12,25.25
4,0,13,23.5
4,0,14,21.625
4,0,15,26.0
4,0,16,23.5
4,0,17,28.875
4,0,18,33.25
4,0,19,31.0
4,0,20,26.25
4,0,21,26.125
4,0,22,25.0
4,0,23,20.375
4,0,24,19.75
4,0,25,21.0
4,0,26,20.5
4,0,27,23.75
4,0,28,34.0
4,0,29,32.125
4,0,30,17.5
4,0,31,35.0
4,0,32,25.875
4,0,33,28.5
4,0,34,27.75
4,0,35,21.25
4,0,36,21.5
4,0,37,27.5
4,0,38,19.5
4,0,39,29.75
4,0,40,28.0
4,0,41,15.25
4,0,42,24.125
4,0,43,22.75
4,0,44,30.0
4,0,45,30.375
4,0,46,12.75
4,0,47,34.5
4,1,0,12.625
4,1,1,15.5
4,1,2,18.0
4,1,3,15.0
4,1,4,17.625
4,1,5,23.25
4,1,6,16.75
4,1,7,22.75
4,1,8,22.5
4,1,9,18.375
4,1,10,22.75
4,1,11,19.0
4,1,12,21.0
4,1,13,13.25
4,1,14,14.625
4,1,15,13.25
4,1,16,18.375
4,1,17,25.75
4,1,18,13.125
4,1,19,14.0
4,1,20,20.0
4,1,21,16.5
4,1,22,18.0
4,1,23,15.0
4,1,24,15.75
4,1,25,23.0
4,1,26,20.25
4,1,27,27.625
4,1,28,18.25
4,1,29,24.25
4,1,30,25.0
4,1,31,14.25
4,1,32,14.625
4,1,33,21.5
4,1,34,26.5
4,1,35,20.875
4,1,36,16.5
4,1,37,24.75
4,1,38,23.0
4,1,39,17.75
4,1,40,17.5
4,1,41,17.0
4,1,42,18.375
4,1,43,21.5
4,1,44,16.125
4,1,45,16.5
4,1,46,17.75
4,1,47,19.0
4,2,0,20.0
4,2,1,22.0
4,2,2,16.375
4,2,3,25.625
4,2,4,15.375
4,2,5,18.5
4,2,6,19.0
4,2,7,22.0
4,2,8,16.0
4,2,9,19.0
4,2,10,19.0
4,2,11,24.625
4,2,12,10.0
4,2,13,15.5
4,2,14,12.25
4,2,15,15.5
4,2,16,14.875
4,2,17,16.5
4,2,18,12.625
4,2,19,18.375
4,2,20,20.875
4,2,21,19.0
4,2,22,15.5
4,2,23,18.5
4,2,24,17.75
4,2,25,21.0
4,2,26,15.0
4,2,27,13.0
4,2,28,18.375
4,2,29,21.5
4,2,30,16.0
4,2,31,24.75
4,2,32,19.625
4,2,33,17.75
4,2,34,21.25
4,2,35,18.0
4,2,36,16.0
4,2,37,22.0
4,2,38,21.5
4,2,39,14.5
4,2,40,16.5
4,2,41,16.0
4,2,42,21.625
4,2,43,23.25
4,2,44,16.375
4,2,45,18.375
4,2,46,21.5
4,2,47,16.0
5,3,0,5.0
5,3,1,7.875
5,3,2,7.0
5,3,3,6.5
5,3,4,3.75
5,3,5,5.5
5,3,6,7.875
5,3,7,8.25
5,3,8,6.0
5,3,9,5.5
5,3,10,5.125
5,3,11,5.5
5,3,12,7.875
5,3,13,9.25
5,3,14,9.0
5,3,15,7.25
5,3,16,7.875
5,3,17,6.5
5,3,18,7.0
5,3,19,9.25
5,3,20,3.75
5,3,21,4.75
5,3,22,4.0
5,3,23,5.125
5,3,24,6.5
5,3,25,6.5
5,3,26,9.25
5,3,27,9.75
5,3,28,6.0
5,3,29,3.75
5,3,30,6.5
5,3,31,9.25
5,3,32,7.25
5,3,33,7.0
5,3,34,9.25
5,3,35,7.0
5,3,36,7.0
5,3,37,6.0
5,3,38,9.25
5,3,39,9.25
5,3,40,8.5
5,3,41,4.0
5,3,42,6.0
5,3,43,8.25
5,3,44,6.5
5,3,45,8.5
5,3,46,5.125
5,3,47,5.5
3,0,0,24.25
3,0,1,30.5
3,0,2,37.25
3,0,3,22.25
3,0,4,40.25
3,0,5,42.625
3,0,6,23.0
3,0,7,44.0
3,0,8,22.25
3,0,9,40.0
3,0,10,35.5
3,0,11,27.125
3,0,12,41.0
3,0,13,28.5
3,0,14,31.5
3,0,15,31.5
3,0,16,43.25
3,0,17,23.0
3,0,18,37.25
3,0,19,31.5
3,0,20,43.125
3,0,21,23.375
3,0,22,24.75
3,0,23,27.625
3,0,24,32.0
3,0,25,42.5
3,0,26,29.125
3,0,27,31.625
3,0,28,28.75
3,0,29,37.0
3,0,30,39.0
3,0,31,54.625
3,0,32,29.0
3,0,33,28.125
3,0,34,41.5
3,0,35,49.75
3,0,36,33.5
3,0,37,38.5
3,0,38,42.75
3,0,39,34.0
3,0,40,34.0
3,0,41,39.0
3,0,42,34.5
3,0,43,42.75
3,0,44,42.75
3,0,45,34.0
3,0,46,29.375
3,0,47,46.625
3,3,0,8.5
3,3,1,36.75
3,3,2,29.0
3,3,3,41.75
3,3,4,76.0
3,3,5,25.5
3,3,6,34.0
3,3,7,25.875
3,3,8,30.0
3,3,9,21.75
3,3,10,20.25
3,3,11,27.0
3,3,12,39.0
3,3,13,34.25
3,3,14,35.5
3,3,15,37.125
3,3,16,34.5
3,3,17,37.75
3,3,18,42.375
3,3,19,39.375
3,3,20,30.25
3,3,21,28.125
3,3,22,25.375
3,3,23,30.5
3,3,24,21.75
3,3,25,17.625
3,3,26,38.625
3,3,27,46.75
3,3,28,29.125
3,3,29,47.25
3,3,30,34.0
3,3,31,25.0
3,3,32,40.0
3,3,33,42.5
3,3,34,22.25
3,3,35,43.5
3,3,36,38.125
3,3,37,40.25
3,3,38,41.125
3,3,39,43.875
3,3,40,28.0
3,3,41,24.625
3,3,42,25.5
3,3,43,47.25
3,3,44,23.5
3,3,45,27.0
3,3,46,34.0
3,3,47,37.25
2,1,0,96.5
2,1,1,83.75
2,1,2,58.0
2,1,3,31.5
2,1,4,39.0
2,1,5,51.25
2,1,6,38.25
2,1,7,27.0
2,1,8,47.875
2,1,9,46.25
2,1,10,23.125
2,1,11,40.25
2,1,12,35.75
2,1,13,33.5
2,1,14,36.5
2,1,15,29.5
2,1,16,29.0
2,1,17,44.5
2,1,18,32.5
2,1,19,33.75
2,1,20,65.5
2,1,21,58.0
2,1,22,59.625
2,1,23,37.0
2,1,24,41.875
2,1,25,27.5
2,1,26,29.0
2,1,27,27.75
2,1,28,23.625
2,1,29,57.25
2,1,30,42.75
2,1,31,37.0
2,1,32,33.875
2,1,33,55.25
2,1,34,53.25
2,1,35,33.5
2,1,36,24.25
2,1,37,30.125
2,1,38,30.625
2,1,39,53.75
2,1,40,39.0
2,1,41,24.0
2,1,42,66.75
2,1,43,46.0
